m1 TID @ 12:34:38,m2 TID @ 12:34:38,m3 TID @ 12:34:38,m1 TID @ 12:34:40,m2 TID @ 12:34:40,m3 TID @ 12:34:40,m1 TID @ 12:34:41,m2 TID @ 12:34:41,m3 TID @ 12:34:42,m1 TID @ 12:34:43,m2 TID @ 12:34:43,m3 TID @ 12:34:43,m1 TID @ 12:34:45,m2 TID @ 12:34:45,m3 TID @ 12:34:45,m1 TID @ 12:34:46,m2 TID @ 12:34:46,m3 TID @ 12:34:46,m1 TID @ 12:34:48,m2 TID @ 12:34:48,m3 TID @ 12:34:48,m1 TID @ 12:34:50,m2 TID @ 12:34:50,m3 TID @ 12:34:50,m1 TID @ 12:34:51,m2 TID @ 12:34:51,m3 TID @ 12:34:51,m1 TID @ 12:34:53,m2 TID @ 12:34:53,m3 TID @ 12:34:53
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
0,83,5,0,83,1,0,83,5,0,83,1,0,83,1,0,83,5,0,83,5,0,83,5,0,83,1,0,83,5
